id_serie,nome_serie,id_episodio,temporada,num_episodio,nome_episodio,ano,generos,duracao_minutos,avaliacao_media,num_votos
tt1837492,13 Reasons Why,tt5174246,1,1,"Tape 1, Side A",2017,"Drama,Mystery,Thriller",54.0,8.2,7884
tt1837492,13 Reasons Why,tt5174248,1,2,"Tape 1, Side B",2017,"Drama,Mystery,Thriller",52.0,7.9,6598
tt1837492,13 Reasons Why,tt5174250,1,3,"Tape 2, Side A",2017,"Drama,Mystery,Thriller",57.0,7.8,6218
tt1837492,13 Reasons Why,tt5174252,1,4,"Tape 2, Side B",2017,"Drama,Mystery,Thriller",57.0,8.0,5990
tt1837492,13 Reasons Why,tt5174254,1,5,"Tape 3, Side A",2017,"Drama,Mystery,Thriller",59.0,8.1,5927
tt1837492,13 Reasons Why,tt5174260,1,6,"Tape 3, Side B",2017,"Drama,Mystery,Thriller",52.0,7.9,5721
tt1837492,13 Reasons Why,tt5174262,1,7,"Tape 4, Side A",2017,"Drama,Mystery,Thriller",54.0,8.3,5832
tt1837492,13 Reasons Why,tt5174264,1,8,"Tape 4, Side B",2017,"Drama,Mystery,Thriller",54.0,8.0,5648
tt1837492,13 Reasons Why,tt5174266,1,9,"Tape 5, Side A",2017,"Drama,Mystery,Thriller",59.0,8.6,5782
tt1837492,13 Reasons Why,tt5174270,1,10,"Tape 5, Side B",2017,"Drama,Mystery,Thriller",50.0,8.5,5790
tt1837492,13 Reasons Why,tt5174272,1,11,"Tape 6, Side A",2017,"Drama,Mystery,Thriller",54.0,9.1,7667
tt1837492,13 Reasons Why,tt5174274,1,12,"Tape 6, Side B",2017,"Drama,Mystery,Thriller",62.0,9.0,6659
tt1837492,13 Reasons Why,tt5174280,1,13,"Tape 7, Side A",2017,"Drama,Mystery,Thriller",60.0,9.2,8847
tt1837492,13 Reasons Why,tt6861936,2,1,The First Polaroid,2018,"Drama,Mystery,Thriller",60.0,7.0,4048
tt1837492,13 Reasons Why,tt7013298,2,2,Two Girls Kissing,2018,"Drama,Mystery,Thriller",60.0,7.1,3488
tt1837492,13 Reasons Why,tt7050070,2,3,The Drunk Slut,2018,"Drama,Mystery,Thriller",57.0,7.3,3325
